
Check Type,Current Price,SMA Short,SMA Long,RSI
BUY_CHECK,85171.120000,85128.136000,85070.206000,70.000000
BUY,85171.120000,0.011643,0.000000
SELL_CHECK,85715.020000,85700.232000,85171.120000,70.000000
HOLD,85715.020000,0.011643,0.000000
SELL_CHECK,85883.160000,85825.416000,85171.120000,70.000000
HOLD,85883.160000,0.011643,0.000000
SELL_CHECK,87100.000000,87057.356000,85171.120000,70.000000
HOLD,87100.000000,0.011643,0.000000
SELL_CHECK,87282.410000,87280.936000,85171.120000,70.000000
SELL,87282.410000,0.0,1016.195539,24.580938
FINAL PROFIT,16.195539

Check Type,Current Price,SMA Short,SMA Long,RSI
BUY_CHECK,84722.000000,84736.600000,84616.884000,70.000000
HOLD,84722.000000,0.000000,1000.000000
BUY_CHECK,84426.440000,84491.302000,84592.911000,70.000000
HOLD,84426.440000,0.000000,1000.000000
BUY_CHECK,83847.830000,83840.480000,83924.925000,70.000000
HOLD,83847.830000,0.000000,1000.000000
BUY_CHECK,84170.090000,84095.048000,84045.784000,70.000000
BUY,84170.090000,0.011881,0.000000
SELL_CHECK,83750.000000,83839.810000,84170.090000,70.000000
SELL,83750.000000,0.0,995.009035,-4.990965
BUY_CHECK,84180.580000,84242.840000,84128.237000,70.000000
HOLD,84180.580000,0.000000,995.009035
BUY_CHECK,84289.180000,84332.048000,84374.578000,70.000000
HOLD,84289.180000,0.000000,995.009035
BUY_CHECK,84190.430000,84262.350000,84229.429000,70.000000
HOLD,84190.430000,0.000000,995.009035
BUY_CHECK,84329.220000,84285.620000,84287.341000,70.000000
HOLD,84329.220000,0.000000,995.009035
BUY_CHECK,84238.640000,84257.878000,84294.349000,70.000000
HOLD,84238.640000,0.000000,995.009035
BUY_CHECK,84335.510000,84316.276000,84361.457000,70.000000
HOLD,84335.510000,0.000000,995.009035
BUY_CHECK,84048.730000,84085.164000,84121.489000,70.000000
HOLD,84048.730000,0.000000,995.009035
BUY_CHECK,84213.110000,84232.342000,84210.067000,70.000000
HOLD,84213.110000,0.000000,995.009035
BUY_CHECK,84034.520000,84031.982000,84039.813000,70.000000
HOLD,84034.520000,0.000000,995.009035
BUY_CHECK,84018.490000,84016.038000,83964.746000,70.000000
BUY,84018.490000,0.011843,0.000000
SELL_CHECK,84076.640000,84164.850000,84018.490000,70.000000
SELL,84076.640000,0.0,995.697690,0.688655
BUY_CHECK,84264.170000,84238.764000,84245.157000,70.000000
HOLD,84264.170000,0.000000,995.697690
BUY_CHECK,84439.340000,84400.416000,84365.195000,70.000000
BUY,84439.340000,0.011792,0.000000
SELL_CHECK,84992.770000,85010.104000,84439.340000,70.000000
SELL,84992.770000,0.0,1002.223664,6.525974
BUY_CHECK,85250.000000,85316.446000,85285.108000,70.000000
HOLD,85250.000000,0.000000,1002.223664
BUY_CHECK,85227.790000,85219.888000,85188.930000,70.000000
BUY,85227.790000,0.011759,0.000000
SELL_CHECK,85879.800000,85880.078000,85227.790000,70.000000
SELL,85879.800000,0.0,1009.890880,7.667216
BUY_CHECK,86379.350000,86278.260000,86083.270000,70.000000
BUY,86379.350000,0.011691,0.000000
SELL_CHECK,87023.150000,86972.724000,86379.350000,70.000000
HOLD,87023.150000,0.011691,0.000000
SELL_CHECK,87300.000000,87214.726000,86379.350000,70.000000
HOLD,87300.000000,0.011691,0.000000
FINAL PROFIT,9.890880

Check Type,Current Price,SMA Short,SMA Long,RSI
BUY_CHECK,84630.430000,84625.516000,84665.610000,70.000000
HOLD,84630.430000,0.000000,1000.000000
BUY_CHECK,84356.010000,84420.222000,84472.551000,70.000000
HOLD,84356.010000,0.000000,1000.000000
BUY_CHECK,83880.430000,83931.326000,83885.082000,70.000000
HOLD,83880.430000,0.000000,1000.000000
BUY_CHECK,84260.760000,84244.002000,84156.447000,70.000000
BUY,84260.760000,0.011868,0.000000
SELL_CHECK,83733.010000,83745.116000,84260.760000,70.000000
SELL,83733.010000,0.0,993.736705,-6.263295
BUY_CHECK,83986.900000,84080.446000,84149.450000,70.000000
HOLD,83986.900000,0.000000,993.736705
BUY_CHECK,84276.370000,84299.258000,84325.009000,70.000000
HOLD,84276.370000,0.000000,993.736705
BUY_CHECK,84016.340000,84072.046000,84173.193000,70.000000
HOLD,84016.340000,0.000000,993.736705
BUY_CHECK,84341.550000,84345.066000,84308.533000,70.000000
BUY,84341.550000,0.011782,0.000000
SELL_CHECK,84200.000000,84226.056000,84341.550000,70.000000
SELL,84200.000000,0.0,992.068922,-1.667783
BUY_CHECK,84264.160000,84288.474000,84308.372000,70.000000
HOLD,84264.160000,0.000000,992.068922
BUY_CHECK,84032.780000,84023.332000,84065.298000,70.000000
HOLD,84032.780000,0.000000,992.068922
BUY_CHECK,84196.200000,84246.714000,84239.915000,70.000000
HOLD,84196.200000,0.000000,992.068922
BUY_CHECK,84025.570000,84011.634000,84011.355000,70.000000
HOLD,84025.570000,0.000000,992.068922
BUY_CHECK,84000.000000,84006.472000,84010.531000,70.000000
HOLD,84000.000000,0.000000,992.068922
BUY_CHECK,84103.460000,84096.236000,84143.225000,70.000000
HOLD,84103.460000,0.000000,992.068922
BUY_CHECK,84307.740000,84287.658000,84258.492000,70.000000
BUY,84307.740000,0.011767,0.000000
SELL_CHECK,84758.940000,84562.942000,84307.740000,70.000000
HOLD,84758.940000,0.011767,0.000000
SELL_CHECK,84895.730000,84955.720000,84307.740000,70.000000
SELL,84895.730000,0.0,998.987938,6.919016
BUY_CHECK,85046.210000,85092.550000,85217.161000,70.000000
HOLD,85046.210000,0.000000,998.987938
BUY_CHECK,85012.450000,85116.468000,85161.436000,70.000000
HOLD,85012.450000,0.000000,998.987938
BUY_CHECK,86410.660000,86118.324000,85978.280000,70.000000
BUY,86410.660000,0.011561,0.000000
SELL_CHECK,86251.820000,86315.058000,86410.660000,70.000000
SELL,86251.820000,0.0,997.151599,-1.836339
BUY_CHECK,87052.960000,87085.994000,87027.144000,70.000000
HOLD,87052.960000,0.000000,997.151599
BUY_CHECK,87400.410000,87368.570000,87287.503000,70.000000
BUY,87400.410000,0.011409,0.000000
FINAL PROFIT,-2.848401
